text,rating,sentiment,text_clean,label_indobert,label_mbert
"sistem pajak sampai saya menulis ini sangat sangat menyusahkan dan tidak jelas, lambat, sering error, berulang kali mencoba namun tidak ada hasil dan hanya buang buang waktu, ujung ujungnya harus datang ke kantor pajak dan dipersulit",1,Negative,sistem pajak sampai saya menulis ini sangat sangat menyusahkan dan tidak jelas lambat sering error berulang kali mencoba namun tidak ada hasil dan hanya buang buang waktu ujung ujungnya harus datang ke kantor pajak dan dipersulit,Negative,Negative
"LAMBAT KALI PROSESNYA, RIBET",1,Negative,lambat kali prosesnya ribet,Negative,Negative
memang untuk memperaulit Rakyat.. mau web ny aplikasi ny.. tiba2 nanti ada denda.. buat aja yang simpel dan mudah di mengerti rakyat..,1,Negative,memang untuk memperaulit rakyat mau web ny aplikasi ny tiba2 nanti ada denda buat aja yang simpel dan mudah di mengerti rakyat,Negative,Negative
"aplikasi tolol, login web login apk ujung""nya error",1,Negative,aplikasi tolol login web login apk ujung nya error,Negative,Negative
oke,3,Neutral,oke,Neutral,Neutral
cukup,5,Positive,cukup,Positive,Positive
gajelas,1,Negative,gajelas,Negative,Negative
ini aplikasi apa anj masa mau aktivasi pun di persulit,1,Negative,ini aplikasi apa anj masa mau aktivasi pun di persulit,Negative,Negative
ribet dan ga mutu aplikasi plat merah,1,Negative,ribet dan ga mutu aplikasi plat merah,Negative,Negative
"Aplikasi buruk sekali sini mau bayar pajak susahnya minta ampun. Seharusnya pemerintah mempermudah orang yang mau bayar pajak bukan mempersulit. Sungguh pelayanan yang buruk sekali, mau pajak sulit giliran sudah pajak dikorupsi",1,Negative,aplikasi buruk sekali sini mau bayar pajak susahnya minta ampun seharusnya pemerintah mempermudah orang yang mau bayar pajak bukan mempersulit sungguh pelayanan yang buruk sekali mau pajak sulit giliran sudah pajak dikorupsi,Negative,Negative
pembuangan budget negara aplikasi sampah,1,Negative,pembuangan budget negara aplikasi sampah,Negative,Negative
"SANGAT SANGAT PAYAH,KITA YG KERJA,KITA YG PUNYA DUIT.CUMAN MINTA LUPA EFIN AJA SUSAHNYA MINTA AMPUN.",1,Negative,sangat sangat payah kita yg kerja kita yg punya duit cuman minta lupa efin aja susahnya minta ampun,Negative,Negative
Aplikasi tidak berjalan. Pake wifi pake data pake hostpot sudah dicoba. Capecape ngisi data malah ga kebaca. Buruk Sekali,1,Negative,aplikasi tidak berjalan pake wifi pake data pake hostpot sudah dicoba capecape ngisi data malah ga kebaca buruk sekali,Negative,Negative
"tolong di perbaiki coretax untuk berubah email dan pasword, karena tidak ada cetang di daftar kontak kami tidak bisa mendapatkan email. kami mohon segera di tindaklanjuti",5,Positive,tolong di perbaiki coretax untuk berubah email dan pasword karena tidak ada cetang di daftar kontak kami tidak bisa mendapatkan email kami mohon segera di tindaklanjuti,Positive,Positive
Sangat2 tidak memudahkan rakyat hanya mempersulit saja keterngan sistem kami eror. Apa indonesia sistemnya selalu eror???,1,Negative,sangat2 tidak memudahkan rakyat hanya mempersulit saja keterngan sistem kami eror apa indonesia sistemnya selalu eror,Negative,Negative
"susah bngt daftarnya, tolong dong dipermudah cara daftarnya",1,Negative,susah bngt daftarnya tolong dong dipermudah cara daftarnya,Negative,Negative
jelak sekali baru di buka keluar sendri,1,Negative,jelak sekali baru di buka keluar sendri,Negative,Negative
"mau coba lapor online, efin uda dapet tapi pas mau log in user dan pw salah,, padahal dr email.. apa ini hari minggu?",1,Negative,mau coba lapor online efin uda dapet tapi pas mau log in user dan pw salah padahal dr email apa ini hari minggu,Negative,Negative
"korupsi trus anggaran tuh, buat apk aja gak becuss",1,Negative,korupsi trus anggaran tuh buat apk aja gak becuss,Negative,Negative
aplikasi sampah error mulu emng gini aplikasi pemerintah,1,Negative,aplikasi sampah error mulu emng gini aplikasi pemerintah,Negative,Negative
ribet,1,Negative,ribet,Negative,Negative
alangkah sia2nya uang negara untuk yg mengurus perpajakan ini,1,Negative,alangkah sia2nya uang negara untuk yg mengurus perpajakan ini,Negative,Negative
"semua komentar tidak beda jauh dengan yang lain, kalau memang belum bisa membuat aplikasi pelayanan masyarakat yang baik lebih baik ditutup saja aplikasinya.",1,Negative,semua komentar tidak beda jauh dengan yang lain kalau memang belum bisa membuat aplikasi pelayanan masyarakat yang baik lebih baik ditutup saja aplikasinya,Negative,Negative
Susah login Email verifikasi tdk masuk2,1,Negative,susah login email verifikasi tdk masuk2,Negative,Negative
percuma bayar pajak klo dikorupsi,1,Negative,percuma bayar pajak klo dikorupsi,Negative,Negative
G guna,1,Negative,g guna,Negative,Negative
BIROKRASI BERBELIT. UJUNG UJUNGNYA DUIT PAJAKBUAT BELI RUBICON KENAPA HARUS RIBET!,1,Negative,birokrasi berbelit ujung ujungnya duit pajakbuat beli rubicon kenapa harus ribet,Negative,Negative
membingungkan,1,Negative,membingungkan,Negative,Negative
"ribet ,susah mau login juga",2,Negative,ribet susah mau login juga,Negative,Negative
"kalo gak siap jangan bikin apk, buang2 anggaran",1,Negative,kalo gak siap jangan bikin apk buang2 anggaran,Negative,Negative
bagus sekali bisa membantu pekerjaan meskipun tidak bawa laptop,5,Positive,bagus sekali bisa membantu pekerjaan meskipun tidak bawa laptop,Positive,Positive
Aplikasi tiada guna selain habisin duit pajak.,1,Negative,aplikasi tiada guna selain habisin duit pajak,Negative,Negative
email tidak masuk masuk,1,Negative,email tidak masuk masuk,Negative,Negative
Cek NPWP,5,Positive,cek npwp,Positive,Positive
gak beres,1,Negative,gak beres,Negative,Negative
Tidak masuk aplikasi M-Pajak,1,Negative,tidak masuk aplikasi m pajak,Negative,Negative
aplikasi sampah,1,Negative,aplikasi sampah,Negative,Negative
aplikasi tidak berguna,1,Negative,aplikasi tidak berguna,Negative,Negative
Dipersulit,1,Negative,dipersulit,Negative,Negative
"ga jelas aplikasinya, ga bisa penginian data",1,Negative,ga jelas aplikasinya ga bisa penginian data,Negative,Negative
aplikasi plat merah selalu bermasalah .,1,Negative,aplikasi plat merah selalu bermasalah,Negative,Negative
gak bisa dibuka di android,1,Negative,gak bisa dibuka di android,Negative,Negative
aplikasi yang susah diakses .... entah HP saya yang ga sesuai spek untuk aplikasi jni atau emang .... aplikasinya yg bukan ntuk orang kebanyakan... CHAT aja susah ...,2,Negative,aplikasi yang susah diakses entah hp saya yang ga sesuai spek untuk aplikasi jni atau emang aplikasinya yg bukan ntuk orang kebanyakan chat aja susah,Negative,Negative
"mau daftar NPWP kok gbs sih,malah lgsg di suruh masukin NPWP sedangkan masih mau daftar",1,Negative,mau daftar npwp kok gbs sih malah lgsg di suruh masukin npwp sedangkan masih mau daftar,Negative,Negative
kalau ada bintang 0 kasih bintang 0 deh.. ga sopan banget tiba tiba ngehapusin data orang ambil HP ga tau malu ga punya adab karyawannya,1,Negative,kalau ada bintang 0 kasih bintang 0 deh ga sopan banget tiba tiba ngehapusin data orang ambil hp ga tau malu ga punya adab karyawannya,Negative,Negative
bagus,5,Positive,bagus,Positive,Positive
"Sampahh buanget , ini cara cek nomer pajak skarang aja susahnya kaya cari dukun santet. gilaaaaa gilaaaaaa gimana ini website negri aja parah banget",1,Negative,sampahh buanget ini cara cek nomer pajak skarang aja susahnya kaya cari dukun santet gilaaaaa gilaaaaaa gimana ini website negri aja parah banget,Negative,Negative
"bagaimana sih aplikasi udah lama berjalan masuk keagen aja lama banget, kita yang bayar kita di persulitkan",1,Negative,bagaimana sih aplikasi udah lama berjalan masuk keagen aja lama banget kita yang bayar kita di persulitkan,Negative,Negative
payah,1,Negative,payah,Negative,Negative
"katanya aplikasi pajak, tapi performanya tidak membantu sama sekali",1,Negative,katanya aplikasi pajak tapi performanya tidak membantu sama sekali,Negative,Negative
"database nya update saya sudah perubahan email sama ni hp di coretax,TPI disini belum update gak bisa login",1,Negative,database nya update saya sudah perubahan email sama ni hp di coretax tpi disini belum update gak bisa login,Negative,Negative
ga bisa masuk nya percuma dong ada aplikasi tapi ga bisa di gunakan huh jelek,1,Negative,ga bisa masuk nya percuma dong ada aplikasi tapi ga bisa di gunakan huh jelek,Negative,Negative
"sumpah login aja membuat pasword baru malah salah terus, eror. update bukan mempermudah tapi kok mempersulit",1,Negative,sumpah login aja membuat pasword baru malah salah terus eror update bukan mempermudah tapi kok mempersulit,Negative,Negative
"banyak nge bug dan lemot, aplikasi GK guna",1,Negative,banyak nge bug dan lemot aplikasi gk guna,Negative,Negative
mantap,5,Positive,mantap,Positive,Positive
"suruh masukin nomor npwp, padahal nik saya sudah jadi nomer npwp,, kalo yg daftar di waktu dulu sih ada nomer npwp nya,, kalo saya bikin di jaman sekarang ga pake nomer npwp melainkan memakai nik,, perbaiki dong sistemnya,,, mau lapor pajak aja di persulit",1,Negative,suruh masukin nomor npwp padahal nik saya sudah jadi nomer npwp kalo yg daftar di waktu dulu sih ada nomer npwp nya kalo saya bikin di jaman sekarang ga pake nomer npwp melainkan memakai nik perbaiki dong sistemnya mau lapor pajak aja di persulit,Negative,Negative
jelek banget ga bisa loging,1,Negative,jelek banget ga bisa loging,Negative,Negative
tidak berguna,1,Negative,tidak berguna,Negative,Negative
"apk aneh,minta kode efin udh kelar jawabnya nomer handphone td valid ngisi form ajh gk ad no phone ko aneh sih",1,Negative,apk aneh minta kode efin udh kelar jawabnya nomer handphone td valid ngisi form ajh gk ad no phone ko aneh sih,Negative,Negative
"apk tidak membantu, situsnya eror terus",1,Negative,apk tidak membantu situsnya eror terus,Negative,Negative
Aplikasi sampah kebanyakan teori dan bela diri jika dikritik gak pernah merendah siap salah. Aplikasi milik pemerintah malah kalah sama Gojek atau Grab ini lemot minta ampun sampai muncul tanduk warna merah dikepala,1,Negative,aplikasi sampah kebanyakan teori dan bela diri jika dikritik gak pernah merendah siap salah aplikasi milik pemerintah malah kalah sama gojek atau grab ini lemot minta ampun sampai muncul tanduk warna merah dikepala,Negative,Negative
"rugi ada apk ini,, untuk apa sebenarny??",1,Negative,rugi ada apk ini untuk apa sebenarny,Negative,Negative
anggaran besar tapi aplikasi sama webnya sampah,1,Negative,anggaran besar tapi aplikasi sama webnya sampah,Negative,Negative
Delay banget,1,Negative,delay banget,Negative,Negative
ribet login nya,1,Negative,ribet login nya,Negative,Negative
"hadeh mau laporan spt aja susah bngt, minta EFIN lewat aplikasi ada gangguan, lewat email ga ada balesan, lewat telfon ga terhubung, lewat live chat di oper sana oper sini umpan lanbung. mau ke kantor sabtu - minggu tutup.",1,Negative,hadeh mau laporan spt aja susah bngt minta efin lewat aplikasi ada gangguan lewat email ga ada balesan lewat telfon ga terhubung lewat live chat di oper sana oper sini umpan lanbung mau ke kantor sabtu minggu tutup,Negative,Negative
Biarkan bintang yg berbicara,5,Positive,biarkan bintang yg berbicara,Positive,Positive
lagian heran pakek NPWP yg 15 digit sedangkan daftar NPWP pakek no nik yg 16 digit maksudnya bagaimana gak jelas,1,Negative,lagian heran pakek npwp yg 15 digit sedangkan daftar npwp pakek no nik yg 16 digit maksudnya bagaimana gak jelas,Negative,Negative
oke,5,Positive,oke,Positive,Positive
"kita yg byar pajak pakai uang kita sndri mau lapor pajak aj susah e minta ampun,lucu konoha",1,Negative,kita yg byar pajak pakai uang kita sndri mau lapor pajak aj susah e minta ampun lucu konoha,Negative,Negative
"gak guna, hanya dashboard biasa aja gak ada menu pelaporan",1,Negative,gak guna hanya dashboard biasa aja gak ada menu pelaporan,Negative,Negative
"ga guna, ribet, aplikasi ga jelas",1,Negative,ga guna ribet aplikasi ga jelas,Negative,Negative
Aplikasi tempek,1,Negative,aplikasi tempek,Negative,Negative
aplikasi gak guna,1,Negative,aplikasi gak guna,Negative,Negative
tidak Bagus apk ini datanya Tidak Valid padahal datanya smua sudah sesuai ktp 😏,1,Negative,tidak bagus apk ini datanya tidak valid padahal datanya smua sudah sesuai ktp,Negative,Negative
Sudah daftar akun mulai tahun kemarin bisa login lapor online ini malah di bilang pasword salah orang pasword di catat di baiki lah jangn jadi apk sampah jangan bisa minta bayar pajak aja depolever car ygi waras lah,1,Negative,sudah daftar akun mulai tahun kemarin bisa login lapor online ini malah di bilang pasword salah orang pasword di catat di baiki lah jangn jadi apk sampah jangan bisa minta bayar pajak aja depolever car ygi waras lah,Negative,Negative
Baik,2,Negative,baik,Negative,Negative
tidak nyambung,1,Negative,tidak nyambung,Negative,Negative
selalu ok,5,Positive,selalu ok,Positive,Positive
sangat membantu banget untuk membuAt efin dengan mudah,5,Positive,sangat membantu banget untuk membuat efin dengan mudah,Positive,Positive
"pajak ngambilin uang rakyat.... rakyat yg bayar pajak malah rakyat juga yg hrus lapor pajak... konsepnya gimana ini.. pajak THR potongnya gila""n gede bangt",1,Negative,pajak ngambilin uang rakyat rakyat yg bayar pajak malah rakyat juga yg hrus lapor pajak konsepnya gimana ini pajak thr potongnya gila n gede bangt,Negative,Negative
"Aplikasi m pajak tidak layak dipakai! Fitur pemulihan EFIN terus error meski jaringan stabil, chatbot tidak membantu, dan pengguna akhirnya tetap harus ke kantor pajak. Buat apa ada aplikasi kalau ujung-ujungnya tidak mempermudah? Hanya buang anggaran negara! Performa sangat memalukan untuk urusan sepentas pajak. Rating 1 bintang pun masih terlalu baik!",1,Negative,aplikasi m pajak tidak layak dipakai fitur pemulihan efin terus error meski jaringan stabil chatbot tidak membantu dan pengguna akhirnya tetap harus ke kantor pajak buat apa ada aplikasi kalau ujung ujungnya tidak mempermudah hanya buang anggaran negara performa sangat memalukan untuk urusan sepentas pajak rating 1 bintang pun masih terlalu baik,Negative,Negative
"Aplikasi sampah, interface tidak berjalan, cuma habis habisin uang rakyat",1,Negative,aplikasi sampah interface tidak berjalan cuma habis habisin uang rakyat,Negative,Negative
"Chat ke admin lama PAKE BANGET Masalah bayar pajak tepat waktu diburu buru kalau ngga denda 100.000, tapi masalah pelayanan masyarakat DI KORUPSI",1,Negative,chat ke admin lama pake banget masalah bayar pajak tepat waktu diburu buru kalau ngga denda 100 000 tapi masalah pelayanan masyarakat di korupsi,Negative,Negative
live chat sibuk muluu ampasss,1,Negative,live chat sibuk muluu ampasss,Negative,Negative
"Aplikasi Busuk, Sampah, Ribet.",1,Negative,aplikasi busuk sampah ribet,Negative,Negative
Knpa selalu gagal untuk mengunakan aplikasi ini,1,Negative,knpa selalu gagal untuk mengunakan aplikasi ini,Negative,Negative
gimana ini mau lapor spt kok ga ada kolom lapornya,1,Negative,gimana ini mau lapor spt kok ga ada kolom lapornya,Negative,Negative
buruk situs tidak dpat dijangkau..maksudnya apa coba,1,Negative,buruk situs tidak dpat dijangkau maksudnya apa coba,Negative,Negative
Ini aplikasi apa Cuma bisa ke menu utama live chat cuma launding parahh Ini aplikasi resmi atau bukan Hadehh padahal menunya sangat sederhana tapi saat di klik gak bisa di buka,1,Negative,ini aplikasi apa cuma bisa ke menu utama live chat cuma launding parahh ini aplikasi resmi atau bukan hadehh padahal menunya sangat sederhana tapi saat di klik gak bisa di buka,Negative,Negative
"Bisa - bisanya pemerintah membuat aplikasi ga guna seperti ini, gimana mau maju negara ini kalo semua di persulit mau dptin efin aja susahnya minta ampun",1,Negative,bisa bisanya pemerintah membuat aplikasi ga guna seperti ini gimana mau maju negara ini kalo semua di persulit mau dptin efin aja susahnya minta ampun,Negative,Negative
sangat membantu dan tidak ribet,5,Positive,sangat membantu dan tidak ribet,Positive,Positive
Sulit buat daftar entah di aplikasi atau di situs nya,1,Negative,sulit buat daftar entah di aplikasi atau di situs nya,Negative,Negative
aplikasi ribet mau daftar akun aja pakai ribet,1,Negative,aplikasi ribet mau daftar akun aja pakai ribet,Negative,Negative
Verify nomer hp NPWP gak di kirim,3,Neutral,verify nomer hp npwp gak di kirim,Neutral,Neutral
Aplikasi ga berguna.tidak jelas menunya.,1,Negative,aplikasi ga berguna tidak jelas menunya,Negative,Negative
Jangan di Korupsi,1,Negative,jangan di korupsi,Negative,Negative
Aplikasi tolol,1,Negative,aplikasi tolol,Negative,Negative
mengecewakan,1,Negative,mengecewakan,Negative,Negative
"servenya terus bermasalah, tolong di perbaiki.",3,Neutral,servenya terus bermasalah tolong di perbaiki,Neutral,Neutral
Ga guna,1,Negative,ga guna,Negative,Negative
oke,5,Positive,oke,Positive,Positive
Aplikasi sia sia,1,Negative,aplikasi sia sia,Negative,Negative
Aplikasi tolol..,1,Negative,aplikasi tolol,Negative,Negative
"Aplikasi ini tidak membantu sama sekali, anda akan diarahkan ke kantor pajak",1,Negative,aplikasi ini tidak membantu sama sekali anda akan diarahkan ke kantor pajak,Negative,Negative
Tidak berguna,1,Negative,tidak berguna,Negative,Negative
apk gak guna,1,Negative,apk gak guna,Negative,Negative
Aplikasi gaguna.,1,Negative,aplikasi gaguna,Negative,Negative
"Proses pengiriman kode otp dan sejenisnya pada email atau nomor sms, tidak ontime.",1,Negative,proses pengiriman kode otp dan sejenisnya pada email atau nomor sms tidak ontime,Negative,Negative
"Verifikasi lewat email kode aja susah banget, lama proses ya.",1,Negative,verifikasi lewat email kode aja susah banget lama proses ya,Negative,Negative
"Masa aplikasi sekelas pemerintah, mau forgot password ngga ada optionnya. Mana chat live error mulu",1,Negative,masa aplikasi sekelas pemerintah mau forgot password ngga ada optionnya mana chat live error mulu,Negative,Negative
"ini aplikasi gunanya buat apa jika mau login harus punya efin,sedangkan mau punya efin di persulit tidak bisa lewat online,kalau harus datang ke kantor ngapain di bikin aplikasinya,jdi gk guna,tolong untuk pembuatan efin di permudah supaya bisa lewat efin",1,Negative,ini aplikasi gunanya buat apa jika mau login harus punya efin sedangkan mau punya efin di persulit tidak bisa lewat online kalau harus datang ke kantor ngapain di bikin aplikasinya jdi gk guna tolong untuk pembuatan efin di permudah supaya bisa lewat efin,Negative,Negative
Ribetttttt,1,Negative,ribetttttt,Negative,Negative
"Lumayan bagus, tapi bagaimana cara kirim kartu npwp ke email ya ?",5,Positive,lumayan bagus tapi bagaimana cara kirim kartu npwp ke email ya,Positive,Positive
Aplikasi gak berguna,1,Negative,aplikasi gak berguna,Negative,Negative
hapus saja fitur live chat tdk bisa digunakan,1,Negative,hapus saja fitur live chat tdk bisa digunakan,Negative,Negative
Jadi mudah,5,Positive,jadi mudah,Positive,Positive
Menyusahkan Mau cari pengaturan saja susah mau ganti alamat email saja susah,1,Negative,menyusahkan mau cari pengaturan saja susah mau ganti alamat email saja susah,Negative,Negative
Mudahan lancar,4,Positive,mudahan lancar,Positive,Positive
menu tidak muncul,1,Negative,menu tidak muncul,Negative,Negative
"Cukup membantu, Saya lupa EFIN dan bisa di urus lewat aplikasi ini, caranya mudah & prosesnya cepat, makasih🙏🏼",5,Positive,cukup membantu saya lupa efin dan bisa di urus lewat aplikasi ini caranya mudah prosesnya cepat makasih,Positive,Positive
"NPWP 16 angka kok cuma bisa input 15, GA JELAS",1,Negative,npwp 16 angka kok cuma bisa input 15 ga jelas,Negative,Negative
mau kasih dana buat lu korupsi aja susah banget,1,Negative,mau kasih dana buat lu korupsi aja susah banget,Negative,Negative
Aplikasi gak guna!! Gini negara mau maju darimana?? Pajak aja di gedein tapi pelayanan ruwet! Pengen lapor lewat online biar hemat waktu tapi malah muter-muter aja kayak kentut!,1,Negative,aplikasi gak guna gini negara mau maju darimana pajak aja di gedein tapi pelayanan ruwet pengen lapor lewat online biar hemat waktu tapi malah muter muter aja kayak kentut,Negative,Negative
APLIKASI TUKANG TIPU,1,Negative,aplikasi tukang tipu,Negative,Negative
"Bagaimana cara lapor pajak dari apk ini? Saya login di web tidak bisa, tulisannya : alamat email sudah dipakai pengguna lain (ia kan saya yg pakai!!!) Mau lapor dari Mpajak gak ada pilihannya, jangan dipersulitlah!!!!",1,Negative,bagaimana cara lapor pajak dari apk ini saya login di web tidak bisa tulisannya alamat email sudah dipakai pengguna lain ia kan saya yg pakai mau lapor dari mpajak gak ada pilihannya jangan dipersulitlah,Negative,Negative
"banyak fitur yang tidak dapat di akses, mohon segera di perbaiki",1,Negative,banyak fitur yang tidak dapat di akses mohon segera di perbaiki,Negative,Negative
Waduh nunggu verifikasi kagak masuk masuk kocak 🤣,1,Negative,waduh nunggu verifikasi kagak masuk masuk kocak,Negative,Negative
"Nyushain udah di pajak, suruh lapor terus orang pajak kerjanya apa korupsi? Udah menunya nyulitin lagi cari lapor ga ada aplikasi payah...",1,Negative,nyushain udah di pajak suruh lapor terus orang pajak kerjanya apa korupsi udah menunya nyulitin lagi cari lapor ga ada aplikasi payah,Negative,Negative
kurang membantu di persulit,1,Negative,kurang membantu di persulit,Negative,Negative
"1,2 Triliun kaya gini hasilnya?",1,Negative,1 2 triliun kaya gini hasilnya,Negative,Negative
Susah masuk nya,5,Positive,susah masuk nya,Positive,Positive
"udh isi pulsa, sebelum tiap mau ngomong sma CS disuruh tekan angka 0 tiba"" bot ngucapin makasih dan dimatiin, gila segitunya kah ngambil duit RAKYAT, giliran TELAT di denda, konyol,.",1,Negative,udh isi pulsa sebelum tiap mau ngomong sma cs disuruh tekan angka 0 tiba bot ngucapin makasih dan dimatiin gila segitunya kah ngambil duit rakyat giliran telat di denda konyol,Negative,Negative
malah lebih lengkap di website? niat bikin gak sih,1,Negative,malah lebih lengkap di website niat bikin gak sih,Negative,Negative
"Download karena lupa efin, tapi akhirnya harus email juga",1,Negative,download karena lupa efin tapi akhirnya harus email juga,Negative,Negative
ok,4,Positive,ok,Positive,Positive
Negara aneh... Pajak kita sudah dibayar perusahaan harus kita lagi yang lapor. Udah itu kita mau lapor berbelit-belit. Ntah kapan lah Indonesia maju?,1,Negative,negara aneh pajak kita sudah dibayar perusahaan harus kita lagi yang lapor udah itu kita mau lapor berbelit belit ntah kapan lah indonesia maju,Negative,Negative
kocak. kirim kode otp nya lama banget,1,Negative,kocak kirim kode otp nya lama banget,Negative,Negative
Jos mantab,5,Positive,jos mantab,Positive,Positive
"Aplikasi nya sungguh buruk, mau aktivasi efin pun dipersulit. Update : yang susah dapat verifikasi dari email, lebih baik verifikasi lewat sms saja, tapi sebelumnya harus punya pulsa yaaa karena dipotong pulsa",1,Negative,aplikasi nya sungguh buruk mau aktivasi efin pun dipersulit update yang susah dapat verifikasi dari email lebih baik verifikasi lewat sms saja tapi sebelumnya harus punya pulsa yaaa karena dipotong pulsa,Negative,Negative
Kita yang bayar kok kita yang ribet 😞,1,Negative,kita yang bayar kok kita yang ribet,Negative,Negative
"Nomor NPWP saya 16 angka, tapi dikolom pembuatan EFIN terdiri dari 15 angka. Kurang 1 angka. Solusinya dong",2,Negative,nomor npwp saya 16 angka tapi dikolom pembuatan efin terdiri dari 15 angka kurang 1 angka solusinya dong,Negative,Negative
Aplikasinya tidak ada untuk pelaporan pajak..dan tdk bisa mengunduh A1,1,Negative,aplikasinya tidak ada untuk pelaporan pajak dan tdk bisa mengunduh a1,Negative,Negative
nunggu no untuk verifikasi ke inbox email lama sehingga ketika kembali ke tab di hp aplikasi m pajaknya suka keluar sendiri.. dan ketika no sudah masuk ke email buka tab baru lagi dan otomatis minta no verifikasi dan no yg ada di email gak bisa di gunakan..gitu dan gitu terus ini😇😇,2,Negative,nunggu no untuk verifikasi ke inbox email lama sehingga ketika kembali ke tab di hp aplikasi m pajaknya suka keluar sendiri dan ketika no sudah masuk ke email buka tab baru lagi dan otomatis minta no verifikasi dan no yg ada di email gak bisa di gunakan gitu dan gitu terus ini,Negative,Negative
mau LOGIN AJA susah banget GAJELAS. mau WEB mau APK GAJELAS,1,Negative,mau login aja susah banget gajelas mau web mau apk gajelas,Negative,Negative
"Aplikasi lemot, Fitur chat pajak yang merespon hanya bot, Ketika ingin terhubung hanya menerima notif bahwa kendala jaringan sedangkan normal, Kendala dari kalian dan aplikasi kalian itu",1,Negative,aplikasi lemot fitur chat pajak yang merespon hanya bot ketika ingin terhubung hanya menerima notif bahwa kendala jaringan sedangkan normal kendala dari kalian dan aplikasi kalian itu,Negative,Negative
Gak sampe 5 menit dapet Efin,5,Positive,gak sampe 5 menit dapet efin,Positive,Positive
busuk,1,Negative,busuk,Negative,Negative
Jelek pak sumpah,1,Negative,jelek pak sumpah,Negative,Negative
Bgus,5,Positive,bgus,Positive,Positive
Aplikasi yang ruwet dan bulet,1,Negative,aplikasi yang ruwet dan bulet,Negative,Negative
Sudah id pw nya bnerr gak bisa masukk,1,Negative,sudah id pw nya bnerr gak bisa masukk,Negative,Negative
"Aplikasi ampass!!! Live chat lemot, kode verif lemot, Disamperin ke kantor sok pake web tapi isinya nol!!",1,Negative,aplikasi ampass live chat lemot kode verif lemot disamperin ke kantor sok pake web tapi isinya nol,Negative,Negative
"APLIKASI SAMPAH, LOGIN AJA SUSAH APALAGI MAU BAYAR",1,Negative,aplikasi sampah login aja susah apalagi mau bayar,Negative,Negative
"Mau minta kode EFIN aja di persulit, emang kenya aplikasi nya di korup nih, apa udah nunggu lama2, pas udah keluar dari aplikasi nya, dia baru kirim kode otp Yo telat to pak bossss, jin*",1,Negative,mau minta kode efin aja di persulit emang kenya aplikasi nya di korup nih apa udah nunggu lama2 pas udah keluar dari aplikasi nya dia baru kirim kode otp yo telat to pak bossss jin,Negative,Negative
Lebih rumit,1,Negative,lebih rumit,Negative,Negative
Ga bisa dihubungi 1500200,1,Negative,ga bisa dihubungi 1500200,Negative,Negative
"Mau bikin surat setoran pajak gak bisa di klik, terus gimana caranya dapat E Billing",2,Negative,mau bikin surat setoran pajak gak bisa di klik terus gimana caranya dapat e billing,Negative,Negative
Otp lama,2,Negative,otp lama,Negative,Negative
"Aplikasi andalan Direktorat jendral pajak. Kalo belum siap di era digital mending jangan buat aplikasi, Manualkan aja. bikin aplikasi malah bikin susah masyarakat",1,Negative,aplikasi andalan direktorat jendral pajak kalo belum siap di era digital mending jangan buat aplikasi manualkan aja bikin aplikasi malah bikin susah masyarakat,Negative,Negative
Baik lanjar,5,Positive,baik lanjar,Positive,Positive
Verifikasi OTP tidak dikirim baik via email dan SMS. Sangat tidak membantu,1,Negative,verifikasi otp tidak dikirim baik via email dan sms sangat tidak membantu,Negative,Negative
"Ini bukan aplikasi, cuma semacam bookmark yang terkonek ke browser. Buset mengelola dana kami segitu besar, cuma dibikinin aplikasi useless",1,Negative,ini bukan aplikasi cuma semacam bookmark yang terkonek ke browser buset mengelola dana kami segitu besar cuma dibikinin aplikasi useless,Negative,Negative
Pada aplikasi ini tidak ada opsi untuk mengakses live chat & lupa EFIN yang saya pun tidak mengerti kenapa,1,Negative,pada aplikasi ini tidak ada opsi untuk mengakses live chat lupa efin yang saya pun tidak mengerti kenapa,Negative,Negative
Gajelas,1,Negative,gajelas,Negative,Negative
Gimana sih web nya buat npwp online semua data sudah di isi dengan benar masih di bilang data pekerjaan belum terisi,1,Negative,gimana sih web nya buat npwp online semua data sudah di isi dengan benar masih di bilang data pekerjaan belum terisi,Negative,Negative
"Beberapa bulan saat mau bayar pajak tidak bisa, selalu tertulis undefined. Mulai dari awal tahun kemarin. Tahun sblumnya masih aman2 aja. Tp smpai skrng tdk ada perbaikan.",1,Negative,beberapa bulan saat mau bayar pajak tidak bisa selalu tertulis undefined mulai dari awal tahun kemarin tahun sblumnya masih aman2 aja tp smpai skrng tdk ada perbaikan,Negative,Negative
Kirain aplikasinya bisa buat daftar npwp ternyata tidak,1,Negative,kirain aplikasinya bisa buat daftar npwp ternyata tidak,Negative,Negative
Apakah tidak ada cara yang lebih mudah untuk melaporkan pajak secara online? Alur lapor pajak sangat sulit dipahami oleh orang awam seperti saya,1,Negative,apakah tidak ada cara yang lebih mudah untuk melaporkan pajak secara online alur lapor pajak sangat sulit dipahami oleh orang awam seperti saya,Negative,Negative
Aplikasi proyek korupsi,1,Negative,aplikasi proyek korupsi,Negative,Negative
Jelek darimananya? Perasaan bagus² aja dan pengiriman kodenya juga cepat.,5,Positive,jelek darimananya perasaan bagus aja dan pengiriman kodenya juga cepat,Positive,Positive
Verivikasi email gak di kirim2,1,Negative,verivikasi email gak di kirim2,Negative,Negative
