ï»¿text,rating,sentiment,clean_text
apk taiiik eror terus,1,Negative,apk taiiik eror
aplikasi bobrok.suka ada update kaga sih? apa anggaran doang,1,Negative,aplikasi bobroksuka update kaga sih anggar doang
sangat menyulitkan untuk mendaftar kartu pajak,1,Negative,sulit daftar kartu pajak
"Inilah contoh bobroknya, aplikasi yang harusnya memudahkan. malah dipersulit proses nya, baru mau login aja udah bikin emosi. Harusnya banyak ulasan jelek ini, langsung diperbaiki. eh, malah dibiarkan. semoga Bu Sri Mulyani baca ulasan2 ini, sebenernya yang ngerepotin dan jadi beban negara itu siapa?ð",1,Negative,contoh bobrok aplikasi mudah sulit proses nya login udah bikin emosi ulas jelek langsung baik eh biar moga bu sri mulyani baca ulas sebenernya ngerepotin beban negara
"aplikasi tidak jelas, pin aktifasi sudah di masukan malah sesi berakhir terus",1,Negative,aplikasi pin aktifasi masuk sesi
"Aplikasi gak ada gunanya, nomor verifikasi efin gak ada di kirim2",1,Negative,aplikasi gak guna nomor verifikasi efin gak kirim
okok,5,Positive,okok
good,5,Positive,good
tolong lah buat login aja susah bet anying,1,Negative,tolong login susah bet anying
sangat buruk,1,Negative,buruk
perbaikan apk nya...daftar EFIN aja susah banget.. masalah di nomor telpon tidak ditemukan...form input nya aja ga ada input nomor telpon,1,Negative,baik apk nyadaftar efin susah banget nomor telpon ditemukanform input nya input nomor telpon
"susah bgt login, eror terus",2,Negative,susah banget login eror
"Bagaimana mau maju peradministrasian Indonesia termasuk pajak dengan basis daring jika login saja selalu error. Padahal No. NIK/NPWP dan Password sudah sesuai, tapi selalu dinyatakan salah. Teknologi sekencang ini, tapi sistem administrasi daring saja Indonesia masih bobrok. Jangankan pegawainya, website/apk nya saja bisa miskomunikasi. Kalau seperti ini terus, warga juga kesulitan untuk mengurus NPWP.",1,Negative,maju administrasi indonesia pajak basis daring login error no niknpwp password sesuai nyata salah teknologi kencang sistem administrasi daring indonesia bobrok pegawai websiteapk nya miskomunikasi warga sulit urus npwp
"maU login malah ga bisa nomer nowpnya, pntek gaming",1,Negative,login nomer nowpnya pntek gaming
ribet..... aplikasi ga guna,1,Negative,ribet aplikasi
gak guna,1,Negative,gak
errorrr g berguna,1,Negative,errorrr g guna
"aplikasi ga bener ni, mau buat NPWP aja eror mulu buangÂ² waktu klo bisa ngasih bintang 0 gw kasih bintang 0 ni aplikasi",1,Negative,aplikasi bener ni npwp eror mulu buang klo ngasih bintang gw kasih bintang ni aplikasi
aplikasi nya error padahal sandi dan NIP/NPWP sama seperti yg masuk di email tolong dong developer perbaiki dulu.,1,Negative,aplikasi nya error sandi nipnpwp masuk email tolong developer baik
"halah, gk web nya, gk app nya sama aja... app yang asal jadi. error semua..",1,Negative,halah web nya app nya app error
stop bayar pajak,1,Negative,stop bayar pajak
"aplikasi nya bagus, cuma perlu perbaharui lagi, agar bisa buat npwp dengan aplikasi ini, saat saya coba di website terjadi error.",3,Neutral,aplikasi nya bagus baharu npwp aplikasi coba website error
Rumit.sulit.ubah data profil saja harus menghubungi kpp administrasi,1,Negative,rumitsulitubah data profil hubung kpp administrasi
"web ampas,nyuruh wajib bayar pajak tapi web eror mwnya apasi",1,Negative,web ampasnyuruh wajib bayar pajak web eror mwnya apas
"MAKAN DUIT RAKYAT NYE DOANG , APLIKASI BOBROK , RAKYAT SURUH BAYAR PAJAK TAPI PERPAJAKAN NGERIBETIN RAKYAT KAN KOCAK. APLIKASI BUMN EMG GA ADA YG BENER , RATING DI PLAYSTORE DIBAWAH 3 SEMUA TOLOL",1,Negative,makan duit rakyat nye doang aplikasi bobrok rakyat suruh bayar pajak paja ngeribetin rakyat kocak aplikasi bumn emg bener rating playstore bawah tolol
"ribet amat aplikasi nya,buat lupa pass aja harus pakai no effn,buat cek no npwp aja ribet",1,Negative,ribet aplikasi nyabuat lupa pass pakai no effnbuat cek no npwp ribet
apps ga jelas. buat masukin data aja di persulit ntah efin lah apa lh itu namanya.,1,Negative,apps masukin data sulit ntah efin lh nama
ribet amat mau buat npwp masa harus di suruh sesuai yang di ktp berarti harus pulkam nyusahin orang yang merantau aja padahal cuma aktivasi akun untuk gmail dan no hp harus pulkam dulu baru terus walapun ada surat domisili tetap harus sesuai di ktp lawak jadi harus pulkam dulu baru layanin baru di bilang npwp pindah ke tempat perantau bener-bener ribet dan di persulitkan.,1,Negative,ribet npwp suruh sesuai ktp pulkam nyusahin orang rantau aktivasi akun gmail no hp pulkam walapun surat domisili sesuai ktp lawak pulkam layanin bilang npwp pindah rantau benerbener ribet sulit
gara2 akun pajak Ni saya kenak tipu,1,Negative,gara akun pajak ni nak tipu
"Mau login susah amat pakai kode lewat email, nanti di masukkan kode eror login lagi dan terus kayak gitu. Bikin login yang mudah gak ribet kayak gini eror terus",1,Negative,login susah pakai kode email masuk kode eror login kayak gitu bikin login mudah gak ribet kayak gin eror
ok,5,Positive,ok
ribet login susah harus ada EFIN buat tau EFIN nya harus ke kentor pajak.. jadi susah ribet...biar tau EFIN nya kenapa gak lewat wa atau email jadi lebih mudah dan gak ngabisin waktu juga...hadeeeuuhh,1,Negative,ribet login susah efin tau efin nya kentor pajak susah ribetbiar tau efin nya gak wa email mudah gak ngabisin jugahadeeeuuhh
"aplikasi busuk, padahal udah ada apk masih harus daftar lewat website lalu fungsi apk buat apa, masa cuman jadi papan berita doang",1,Negative,aplikasi busuk udah apk daftar website fungsi apk cuman papan berita doang
"Ini aplikasi bagaimana, mental mental terus?",2,Negative,aplikasi mental mental
sangat ribet,1,Negative,ribet
aplikasi gak guna.,1,Negative,aplikasi gak
"Sebaik-baiknya aplikasi ini, harusnya pemerintah lah yang mendatangi masyarakat untuk melakukan pemungutan pajak pajak adalah ""BBM"" negara ini, sementara jika seseorang ingin membeli BBM kan harusnya orang itu yang menghampiri POM bukan sebaliknya",2,Negative,sebaikbaiknya aplikasi perintah masyarakat mungut pajak pajak bbm negara beli bbm orang hampir pom
apk penipuan,1,Negative,apk tipu
dimudahkan,5,Positive,mudah
aplikasi konyol,1,Negative,aplikasi konyol
ok,5,Positive,ok
PAJAK DIKORUPSI,1,Negative,pajak korupsi
sangat membantu..,5,Positive,bantu
"emng bener di suruh wajib pajak ,mau bayar pajak sulit ribet,giliran gk di bayar di salahkan,indo indo",1,Negative,emng bener suruh wajib pajak bayar pajak sulit ribetgiliran bayar salahkanindo indo
"mau bayar pajak aja susah, aplikasi lemot masuk ke aplikasi kode gak muncul2. kaya nya semua aplikasi pemerintah gini semua dah kaya sampah.",1,Negative,bayar pajak susah aplikasi lot masuk aplikasi kode gak muncul kaya nya aplikasi perintah gin dah kaya sampah
jangan di download nanti nyesel ..,1,Negative,download nyesel
"Tempo hari ditelpon orang DJP disuruh install ini tp Google Play nya dinonaktifkan dulu dan menu aksesibilitas aplikasi M-Pajak di halaman setting harus dinyalakan. Efeknya, m-banking saya ndak bisa dibuka (memu aksesibilitas harus nonaktif semua supaya aplikasi m-banking bisa dibuka). Karena m-banking lebih penting, jd saya nonaktifkan aksesibilitas nya M-Pajak. Eh besoknya aplikasi M-Pajak nya terhapus sendiri karena sistem mendeteksi ""sumber aplikasi tidak valid"" ð¤£ð¤£",1,Negative,tempo telpon orang djp suruh install tp google play nya nonaktif menu aksesibilitas aplikasi mpajak halaman setting nyala efek mbanking ndak buka mu aksesibilitas nonaktif aplikasi mbanking buka mbanking jd nonaktif aksesibilitas nya mpajak eh besok aplikasi mpajak nya hapus sistem deteksi sumber aplikasi valid
Good,5,Positive,good
apk sampah,1,Negative,apk sampah
apk tertolol yang pernah ada,1,Negative,apk tolol
pembuatan akun melalui Web nya parah banget.. udah sesuai Semua dan koneksi saya bagus ke refresh terus ! bikin PULSA HABIS KARENA UDAH 3 KALI KODE OTP MULU .. GILIRAN SEMUA SELSAI TINGGAL AJUKAN PERMOHONAN LOADING REFRESH SENDIRI.! PERCUMA DONG KATANYA BISA DAFTAR ONLINE TAPI AKHIRNYA KUDU KE KANTOR PAJAK JUGA !,1,Negative,buat akun web nya parah banget udah sesuai koneksi bagus refresh bikin pulsa habis udah kali kode otp mulu gilir selsai tinggal aju mohon loading refresh daftar online kudu kantor pajak
mantab,5,Positive,mantab
m Pajak no Ribet,5,Positive,m pajak no ribet
ok,5,Positive,ok
bagus,5,Positive,bagus
"aplikasi apa ini login slalu gagal , pasword selalu salah , minta no kk minta no npwp slalu gagal , udah jelas jelas no npwp nya sama nik nya sama tapi tetep aja kendala user name salah aneh ya , coba coment yang sama bantu like biar di liat nih sama yang bikin aplikasi",1,Negative,aplikasi login slalu gagal pasword salah no kk no npwp slalu gagal udah no npwp nya nik nya tetep kendala user name salah aneh ya coba coment bantu like biar liat nih bikin aplikasi
luar biasa sangat membantu,4,Positive,bantu
sistem eror terus,1,Negative,sistem eror
sering error' saat login,2,Negative,error login
nice,4,Positive,nice
sangat membantu,5,Positive,bantu
aplikasi penipuan penjebol rekening jangan gunakan,1,Negative,aplikasi tipu jebol rekening
"Terima kasih atas pelayanannya, semoga lebih baik kedepannya.",5,Positive,terima kasih layan moga depan
orang mau buat Npwp harapannya dengan aplikasi atau website jadi lebih mudah. Di bikin mutermuter terus sama Aplikasi ini! Tiap kali Verifikasi nomor telpon itu di kenakan biaya pulsa setelah lanjut ke tahap berikutnya tibaÂ² server Down yang mengharus RE-LOAD mulai isi data dari awal dan di minta Verifikasi Data hingga nomor telpon. Bisa di Hitung kalo 1akun kena potongan Pulsa 2.000rupiah x5 karena kesalahan server udah 10.000 kalo dalam sehari ada 100orang yang gagal sudah dpat 1JUTA PULSA!!!,1,Negative,orang npwp harap aplikasi website mudah bikin mutermuter aplikasi kali verifikasi nomor telpon kena biaya pulsa tahap server down harus reload isi data verifikasi data nomor telpon hitung kalo akun kena potong pulsa rupiah x salah server udah kalo hari orang gagal dpat juta pulsa
Sistem selalu error tiap pengajuan lupa EFIN,3,Neutral,sistem error aju lupa efin
"dana ada, kenapa ngga di perbarui apk sejelek ini si? otp nomor ga muncul 2 jam, gimana mau jadi anggota wajib pajak? heran",1,Negative,dana ngga baru apk jelek si otp nomor muncul jam gimana anggota wajib pajak heran
aplikasi tiba masuk tapi keluar sendiri aneh ð¤­ðð,1,Negative,aplikasi masuk aneh
susah masuk ke apk nya padaal udah beneer,1,Negative,susah masuk apk nya padaal udah beneer
sangatt burukkkk,1,Negative,sangatt burukkkk
ribet,1,Negative,ribet
"hebat, email gw tiba tiba berubah, ya ga bisa nerima kode efin lah",1,Negative,hebat email gw ubah ya nerima kode efin
aplikasi tidak berguna. sekelas pemerintah buat aplikasi seperti sampah tidak bisa di gunakan. hanya menghabiskan anggaran saja.,1,Negative,aplikasi guna kelas perintah aplikasi sampah habis anggar
apk sama Web sama aja bobrok nya lemot eror terus Bukannya mempermudah masyarakat malah mempersulit,1,Negative,apk web bobrok nya lot eror mudah masyarakat sulit
Sulit kali dapetin EFIN ini ribet nya astaga aplikasi mahal mahal ko kaya gini udah bagus mau laporan pajak,1,Negative,sulit kali dapetin efin ribet nya astaga aplikasi mahal mahal ko kaya gin udah bagus lapor pajak
"Aplikasi yang membangkongkan. Tidak mencerminkan kata-kata online nya. Yang ada sama saja, ujung-ujungnya harus offline. (Kebanyakan omon-omon)",1,Negative,aplikasi bangkong cermin katakata online nya ujungujungnya offline banyak omonomon
tidak sesuai harapan,1,Negative,sesuai harap
baik,5,Positive,
Pegawai pajak ini kerja apa ngga ya sistem nya kok eror terus,1,Negative,pegawai pajak kerja ngga ya sistem nya eror
aplikasi ribet,1,Negative,aplikasi ribet
sekelas aplikasi pemerinta kayak plikasi bot uwang oprasionalnya kayaknya di korubsi jadi aplikasinya ecek ecek begini,1,Negative,kelas aplikasi pemerinta kayak plikasi bot uwang oprasionalnya kayak korubsi aplikasi ecek ecek
"memang cocok kalian diberi bintang nol, bahkan bintang 1 pun kebagusan. kinerja tidak lebih baik dari anak ingusan. malu. bikin dan urus segala keperluan aja sulit.",1,Negative,cocok bintang nol bintang bagus kerja anak ingus malu bikin urus perlu sulit
Bisa mempermudah pekerjaan dalam melaporkan terkait dengan perpajakan,5,Positive,mudah kerja lapor kait paja
lemot banget ahhk bikin emosi aja!!! dari dulu gak pernah dibenerin kocak!!!,1,Negative,lot banget ahhk bikin emosi gak dibenerin kocak
penipu hati2 semua ini mencari data pribadi,1,Negative,tipu hati cari data pribadi
"pajak di korup terus layanan buruk , bikin aplikasi burik hedeh capek , verifikasi pake pulsa . pas ke scrol datanya ilang ulangi dari awal verifikasi pake pulsa lagi , aturan macam apa ini",1,Negative,pajak korup layan buruk bikin aplikasi burik hedeh capek verifikasi pake pulsa pas scrol data ilang ulang verifikasi pake pulsa atur
"aplikasi ini dibuat dari uang pajak kami , tapi malah mempersulit hidup dan buang buang waktu sangaaatttttt anehhhh jangan hanya mau rakyat bayar pajak aja tapi buat aplikasi malah nyusahinnnnnnn",1,Negative,aplikasi uang pajak sulit hidup buang buang sangaaatttttt anehhhh rakyat bayar pajak aplikasi nyusahinnnnnnn
mantap,5,Positive,mantap
ok banget,5,Positive,ok banget
sandi sama pasword kok salah Mulu ya..padahal udah bener..kenapa kayak di persulit gtu bayar pajak ya..aneh,1,Negative,sandi pasword salah mulu yapadahal udah benerkenapa kayak sulit gtu bayar pajak yaaneh
"waktu pembuatan NPWP saya menggunakan email teman saya, kemudian saya coba registrasi akun di djp tidak bisa, saya sudah mengganti email lama dengan yang baru tapi saat saya coba registrasi akun di djp tetap tidak bisa, kode eror (email terdeteksi telah di gunakan wajib pajak lain) padahal emil saya tidak pernah saya gunakan untuk registrasi akun djp, ternyata email lama yang saya ganti tetap masih terdaftar, mohon bantuannya",1,Negative,buat npwp email teman coba registrasi akun djp ganti email coba registrasi akun djp kode eror email deteksi wajib pajak emil registrasi akun djp email ganti daftar mohon bantu
"aplikasi gak membantu banget. mau daftar, mau laporan pajak aja susah nya minta ampun. di wa gak membantu banget. tidak ada sosialisasi pencerahan perpindahan ke coretax. RIBET. GAK GUNA. HABISIN ANGGARAN DOANG. MASYARAKAT KECEWA!",1,Negative,aplikasi gak bantu banget daftar lapor pajak susah nya ampun wa gak bantu banget sosialisasi cerah pindah coretax ribet gak habisin anggar doang masyarakat kecewa
menguras pulsa pendaftaran gagal terus muter muter,1,Negative,uras pulsa daftar gagal muter muter
Mantap,5,Positive,mantap
kok prah si kode otp buat hp g muncul trus pas terakhir mau nyelesain pendaftaran udh lama bgt ke refresh ulang lagi asli nyushin,1,Negative,prah si kode otp hp g muncul trus pas nyelesain daftar udh banget refresh ulang asli nyushin
buruk banget sih apk burik klo ga ngebantu ga usah buat apk ginian ga guna.cape cpe habisin waktu buat NPWP code nya lama banget,1,Negative,buruk banget sih apk burik klo ngebantu apk ginian gunacape cpe habisin npwp code nya banget
"SAYA BENAR BENAR KECEWA. MENGAPA SELALU SAJA MENGALAMI LOADING DAN TIDAK ADA KABAR BAIKNYA? SUDAH 1 TAHUN SAYA INGIN MENDAFTAR NAMUN TTP SAJA TIDAK ADA KABAR BAIK APAPUN. LOADING, GAGAL VALIDASI, MINIMAL ADAKAN INFO JELAS MENGAPA BISA GAGAL, MENGAPA BISA LOADING DITAHAP 7. DAN SAAT DIREFRES APABILA TIDAK SENGAJA REFRESH, TOLONG LANJUTKAN ISI DATA DATANYA. BUKANNYA MALAH MENGULANG DARI AWAL",1,Negative,kecewa alami loading kabar baik daftar ttp kabar apa loading gagal validasi minimal adakan info gagal loading tahap direfres sengaja refresh tolong lanjut isi data data ulang
aplikasi koruptor,1,Negative,aplikasi koruptor
Ribet daftar online masih perlu ke kantor juga,1,Negative,ribet daftar online kantor
"tidak berguna aplikasi nya untuk npwp yg baru, yg pake no nik ktp, aplikasi sampahð",1,Negative,guna aplikasi nya npwp pake no nik ktp aplikasi sampah
notif ada tagihan pajak suruh bayar segera. tapi aplikasi dibuat kode billing lemoy sekalið,1,Negative,notif tagih pajak suruh bayar aplikasi kode billing lemoy
"Aplikasi pemerintah sama"" DUNGU NYA",1,Negative,aplikasi perintah dungu nya
pilihan tanggal lahir tidak muncul semua ada yg hilang... pusing tgl 15 tidak bisa di pilih di MODE dapatkan EFIN,1,Negative,pilih tanggal lahir muncul hilang pusing tgl pilih mode dapat efin
congratulationsðð¥³ð,5,Positive,congratulations
fungsinya aplikasi buat apa sih? minimal ada fitur buat perbatui nomer hp/email.. masa ya tiap taun harus lapor pajak tapi gak dikasih fitur pembaruan data,1,Negative,fungsi aplikasi sih minimal fitur batu nomer hpemail ya taun lapor pajak gak kasih fitur baru data
dengan aplikasi m.pajak sangat membantu wajib pajak,5,Positive,aplikasi mpajak bantu wajib pajak
sangat tidak membantu,1,Negative,bantu
"banyak waktu terbuang untuk ngurus npwp online ini. apk dan web susah diakses, loading lemot, n registarasi gagal terus ð¥²",1,Negative,buang ngurus npwp online apk web susah akses loading lot n registarasi gagal
"gara-gara APK ini banyak kasus penipuan yang mengatasnamakan dari kantor pajak sampai"" semuanya data di curi dari HP. NIK ktp , no WA di sadap, foto KTP foto kk di curi, minta no rekening. jadi di ingat ya tmn' kalau ada yng nelpon no tidak di kenal trus minta install M pajak jangan ya kalau gak mau saldo rekening ke bobolan. sekali lagi jangan ya ðð",5,Positive,garagara apk tipu mengatasnamakan kantor pajak data curi hp nik ktp no wa sadap foto ktp foto kk curi no rekening ya tmn yng nelpon no kenal trus install m pajak ya gak saldo rekening bobol ya
"mau buat kode billing aja susah, selalu eror alias kesalahan, padahal sudah sesuai pengisiannya. tidak profesional. padahal mau bayar pajak.",1,Negative,kode billing susah eror alias salah sesuai isi profesional bayar pajak
sangat buruk fitur kurang lengkap,1,Negative,buruk fitur lengkap
udh tuntutan pajak hafus byr gliran mau bayar ribet kacau2,1,Negative,udh tuntut pajak hafus byr gliran bayar ribet kacau
"tidak berguna buang-buang waktu,",1,Negative,guna buangbuang
"keren npwp 15 nik 16, iya aja kalo npwp yang dulu",5,Positive,keren npwp nik iya kalo npwp
bad,1,Negative,bad
wkwk Dana 1T jadinya apk ganiat,1,Negative,wkwk dana t apk ganiat
ok,4,Positive,ok
"website jelek aplikasi jelek, judul doang dibawah naungan pajak, ga modal duitnya banyak juga ðð»ðð»ðð»ðð»ðð»ðð»",1,Negative,website jelek aplikasi jelek judul doang bawah naung pajak modal duit
pertama kali saya masuk aplikasi maxim tidak ribetðð,5,Positive,kali masuk aplikasi maxim ribet
"Mau apk atau web nya sangat tidak profesional sekelas pemerintah begini begitu dangkal, Buruk sekali udah mh tidak tertata ribet lemot lagi, Ditambah suka eror harus ngulang dari awal lagi pas awal pendaftaran pulsa gua habis cuma buat kode otp SMS ... MIRISSS !!!",1,Negative,apk web nya profesional kelas perintah dangkal buruk udah mh tata ribet lot tambah suka eror ngulang pas daftar pulsa gua habis kode otp sms mirisss
"sumpah, kesel banget.. gajelas",1,Negative,sumpah kesel banget gajelas
eror teruss,1,Negative,eror teruss
mau cek Evin aja susah bgt,1,Negative,cek evin susah banget
"indonesia dengan segala regulasinya yang ruwet padahal mah yang mau bayar pajak banyak cuma caranya yg bikin ruwet itu bikin complicated, bayangin kalo ada mereka yg usaha, tapi yang gaptek. ease lah jangan kaya gini birokrasinya !!!!!",1,Negative,indonesia regulasi ruwet mah bayar pajak bikin ruwet bikin complicated bayangin kalo usaha gaptek ease kaya gin birokrasi
"Saya sudah mengisi seluruh data untuk pendaftaran NPWP, namun saat klik Ajukan Permohonan, situs hanya memuat tanpa henti. Ini sangat mengecewakan karena saya sudah mengulang beberapa kali. Tolong perbaiki sistem ini agar tidak menyulitkan pengguna.",1,Negative,isi data daftar npwp klik aju mohon situs muat henti kecewa ulang kali tolong baik sistem sulit guna
lemot. banget.,1,Negative,lot banget
sampah banget,1,Negative,sampah banget
"repot, login gabisa, pas telat bayar kena denda, aplikasi ga jls",1,Negative,repot login gabisa pas telat bayar kena denda aplikasi jls
"Tolong dong Kepada pemerintah, Buat aplikasi yang memang mudah digunakan masyarakat. ini kita mau bayar pajak aja ribet banget ini itu dan ana. wah is the best",1,Negative,tolong perintah aplikasi mudah masyarakat bayar pajak ribet banget ana is the best
benar benar menguras emosi sih.. parah.. ð¡ð¡,1,Negative,uras emosi sih parah
"buruk dan tidak bisa kode billing muncul, padahal mau bayar. kenapa dipersulit pembayaran jika rakyat diwajibkan bayar pajak, sudah mudah bayar via website melalui laptop. dipersulit melalui aplikasi ð gini amat ambil cuan instal aplikasi, tapi ngak bisa bayar/munculkan kode billing.",1,Negative,buruk kode billing muncul bayar sulit bayar rakyat wajib bayar pajak mudah bayar via website laptop sulit aplikasi gin ambil cuan instal aplikasi ngak bayarmunculkan kode billing
app kocak kirim kode verifikasi gak kekirim,1,Negative,app kocak kirim kode verifikasi gak kirim
"sangat jelek, ga bisa login",1,Negative,jelek login
"aplikasi nya kurang bagus, web nya jelek banget susah buat NPWP",1,Negative,aplikasi nya bagus web nya jelek banget susah npwp
"udah login giliran masukin kode verifikasi gak bisa, gitu aja terus..... tolong lah yang bener napa aplikasinya ngabisin anggaran negara aja loe bikin aplikasi gak bener gini",1,Negative,udah login gilir masukin kode verifikasi gak gitu tolong bener napa aplikasi ngabisin anggar negara loe bikin aplikasi gak bener gin
"masyarakat diminta untuk taat membayar pajak, tapi kok malah dipersulit. buat NPWP aja sulit banyak error ny, udah ad NPWP malah log in nya gagal terus. tolong diperbaiki, karena buang2 waktu..",1,Negative,masyarakat taat bayar pajak sulit npwp sulit error ny udah ad npwp log in nya gagal tolong baik buang
aplikasi ga sesuai anggran pembuatan,1,Negative,aplikasi sesuai anggran buat
"kacau ini masa email saya berubah, jadi email yang tidak saya kenal, wah keamanannya sudah gak bisa di percaya ini perpajakan",1,Negative,kacau email ubah email kenal aman gak percaya paja
gara gara kelemotan aplikasi gua jadi gagal interview,1,Negative,gara gara lot aplikasi gua gagal interview
"aplikasi bodooh aplikasi pemerintahan yg paling bodoh, error mulu trus gunanya ini aplikasi apa, khon",1,Negative,aplikasi bodooh aplikasi perintah bodoh error mulu trus guna aplikasi khon
gk bisa daftar,1,Negative,daftar
Ini sebenernya aplikasi apa yaa??,1,Negative,sebenernya aplikasi yaa
Lupa kata sandi buat login m pajak kok dipersulit ya saya mau lapor keuangan dibikin ribet nanti kalo gk lapor pakai denda segala 100 rb tolong jangan dipersulit,1,Negative,lupa sandi login m pajak sulit ya lapor uang bikin ribet kalo lapor pakai denda rb tolong sulit
"Mohon maaf nihh....mohon maaf bangett, saya pernah ketipu oleh pihak yg katanya dari pajak, dan meminta pembaruan data... lalu di suruh berbagi layar melalui vidcall",1,Negative,mohon maaf nihhmohon maaf bangett tipu pajak baru data suruh bagi layar vidcall
tolong dong aplikasinya no NPWP nya yang 16 dijit,5,Positive,tolong aplikasi no npwp nya dijit
"kode sms nya ga pernah masuk, kacau",1,Negative,kode sms nya masuk kacau
"kenapa untuk meminta nomor EFIN, pasa kolom NPWP tidak bisa di ketik 1 angka terakhir..,? jdi pas pengajuan tidak bisa karena nomor NPWP nya kurang 1 anggka...",1,Negative,nomor efin pasa kolom npwp ketik angka jdi pas aju nomor npwp nya anggka
padahal gue udah bikin offline di kantor pajaknya. eh pas gue coba cek di aplikasi keterangan error nik tidak dikenal. ððð lucu ngising mulu,1,Negative,gue udah bikin offline kantor pajak eh pas gue coba cek aplikasi terang error nik kenal lucu ngising mulu
"mau gua bayar gak ini pajakk , daftar doamg sulitt cuuuihh",1,Negative,gua bayar gak pajakk daftar doamg sulitt cuuuihh
kode verifikasi nya lama bener buset dah ah,1,Negative,kode verifikasi nya bener buset dah ah
"payah pelayanan chat tunggu 30 hari kerja baru bales lama banget . sekalinya terhubung tidak membantu sama sekali, lebih menyerahkan masalah itu kembali pada pelanggan. shame on you;!!",1,Negative,payah layan chat tunggu kerja bales banget sekali hubung bantu serah langgan shame on you
Aplikasi ga jelas.... Bisanya memperbarui /update Saja.. Nyatanya ga bisa di pergunakan juga...... Parahhh,1,Negative,aplikasi bisa baru update guna parahhh
apk gajelas,1,Negative,apk gajelas
"tolong diperbarui lagi, saat saya ingin mengajukan lupa EFIN saat ingin mengisi pada form NPWP hanya tersedia 15 digit saja padahal NPWP saya sama dengan nomor NIK yang sejumlah 16 digit angka alhasil pengajuan TIDAK AKAN PERNAH BERHASIL karena sistem hanya tersedia 15 digit saja dan NPWP saya tidak terdeteksi karena kurang 1 digit angka, sederhana namun fatal sekali",1,Negative,tolong baru aju lupa efin isi form npwp sedia digit npwp nomor nik digit angka alhasil aju hasil sistem sedia digit npwp deteksi digit angka sederhana fatal
mau login aja susah skli,1,Negative,login susah skli
aplikasi gak berguna dan gak bisa bekerja sama sekali,1,Negative,aplikasi gak guna gak
lumayan,4,Positive,lumayan
webnya + aplikasinya ga bisa bantu sama sekali,1,Negative,webnya aplikasi bantu
ngga jelas amat dahh mau tanya aja kaga bisa ngetik blok lahh,1,Negative,ngga dahh kaga ngetik blok lahh
on-line,5,Positive,online
"aplikasi dan website error,tidak ada penanganan yang serius terhadap kritik",1,Negative,aplikasi website errortidak tangan serius kritik
aplikasi kocak udah masukin no npwp dan pasword yang bener masih aja salah kocak aplikasi gak kocak,1,Negative,aplikasi kocak udah masukin no npwp pasword bener salah kocak aplikasi gak kocak
"jelek banget, tiap mau login gagal terus. gimana mau lapor coba. payah",1,Negative,jelek banget login gagal gimana lapor coba payah
"serba susah, serba ribet semua di persulit",1,Negative,serba susah serba ribet sulit
Semakin kesini bukan nya semakin baik. Klo belum siap buat bikin APK ga usah maksain deh,1,Negative,kesini nya klo bikin apk maksain deh
tidak ada pilihan ganti password,2,Negative,pilih ganti password
mudah di gunakan,5,Positive,mudah
"saya mau bikin NPWP kenapa terhalang sama pihak ketiga terus ya, selalu di masalahkan validasi pekerjaan maksudnya apa si Indonesia",1,Negative,bikin npwp halang tiga ya masalah validasi kerja maksud si indonesia
informatif,5,Positive,informatif
ga ada menu lupa sandi,1,Negative,menu lupa sandi
kalo ujung2nya harus ke kantor pajak kenapa harus ada Kata PAJAK ONLINE. Pemerintah kalo bikin program aplikasi bukannya meringankan malah membingungkan!!!,1,Negative,kalo ujung kantor pajak pajak online perintah kalo bikin program aplikasi ringan bingung
bagus bs diakses dmn aja,5,Positive,bagus bs akses dmn
tidak bagus,1,Negative,bagus
suruh bayar pajaknya suruh sat set.. tp aplikasi eror mulu g dibenerin,2,Negative,suruh bayar pajak suruh sat set tp aplikasi eror mulu g dibenerin
aplikasi gak guna mau ngajuin efin aja gak bisa padahal udah gw isi NPWP tapi di aplikasi batasnya sampe 15 angka doang sedangkan di kartu ada 16 angka,1,Negative,aplikasi gak ngajuin efin gak udah gw isi npwp aplikasi batas sampe angka doang kartu angka
"kaga bisa cek nomor npwp pakai KTP di online, cuman bisa cek nama terdaftar",1,Negative,kaga cek nomor npwp pakai ktp online cuman cek nama daftar
npwp 16digit tapi di kolom djb cuma bisa 15digit dan pas di cek gagal karna npwp tidak sesuai.ini gimana app nya?,1,Negative,npwp digit kolom djb digit pas cek gagal karna npwp sesuaiini gimana app nya
aplikasi busuk,1,Negative,aplikasi busuk
"APLIKASI BOBROK , LEMOT , BIROKRASI RIBET , SERBA SULIT",1,Negative,aplikasi bobrok lot birokrasi ribet serba sulit
Sampah ...,1,Negative,sampah
top,5,Positive,top
sekelas web pemerintah modelannya begini nunggu no verifikasi udh kaya nunggu bansos,1,Negative,kelas web perintah model nunggu no verifikasi udh kaya nunggu bansos
"udah login udah dapet verifikasi pas masuk malah eror,,developernya benerin dong banyak banget bug yg numpuk",1,Negative,udah login udah dapet verifikasi pas masuk erordevelopernya benerin banget bug numpuk
aplikasi gajelas,1,Negative,aplikasi gajelas
Dana aplikasi nya di korupsi kah??,1,Negative,dana aplikasi nya korupsi kah
